Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iceland,ISL,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.98,,94.98,94.98,94.98,94.98,,94.67,94.67,94.67,94.67,94.57,94.57,94.57,94.57,94.57,94.56,94.56,94.56,94.56,94.56,,
Iceland,ISL,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,90.54120412,88.50253999,95.68281549,108.6954416,138.3683816,161.4034053,157.4261909,136.7933005,93.87482037,97.07276826,106.1862344,106.2464972,115.3908459,124.5814234,137.6445856,153.621987,179.0788262,
Iceland,ISL,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,68.49043753,61.93268351,60.97256219,59.90693156,55.8010342,50.89050416,47.66579562,41.7493337,45.08911008,55.70721314,58.55902914,54.4328523,50.80914847,57.09095727,56.87380806,56.96185046,52.78710924,51.35837316,53.18399837,56.818694,57.5492928,55.71867971,51.58721379,57.14740611,55.96309782,58.51185956,56.41800378,54.52384965,50.21468067,49.85691229,51.33514406,48.60073705,46.0421877,44.72961075,49.17008135,50.72597886,53.73098728,51.25241818,52.20196838,50.68806789,50.296061,52.70179576,48.91947971,46.02153359,47.23810406,48.34799017,56.24983426,54.03830104,65.61976313,59.18069452,62.29219694,67.21532695,66.79973322,62.47837371,58.71825306,57.94354576,49.01686249,48.39865553,
Iceland,ISL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53796805,11.903494,12.32708844,12.30267222,13.2640262,13.39134762,11.8954866,11.73607493,12.87653358,13.38415237,13.98337123,13.1860777,14.68837518,13.66953965,10.19787325,10.35604363,10.3755074,10.75877872,11.55420675,12.03332615,12.84371853,14.82533559,16.11827261,
Iceland,ISL,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282000000,312000000,327000000,399000000,440000000,471000000,372000000,373000000,524000000,699000000,991000000,1084000000,1336000000,1103000000,534000000,599000000,740000000,780000000,850000000,972000000,998000000,1268000000,1664000000,
Iceland,ISL,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282000000,308000000,323000000,396000000,436000000,471000000,372000000,371000000,523000000,697000000,980000000,1076000000,1326000000,1103000000,534000000,599000000,740000000,780000000,850000000,972000000,998000000,1268000000,1664000000,
Iceland,ISL,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186000000,176000000,173000000,207000000,222000000,227000000,232000000,256000000,319000000,370000000,413000000,478000000,601000000,624000000,550000000,562000000,751000000,865000000,1078000000,1375000000,1618000000,2411000000,3024000000,
Iceland,ISL,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,4000000,3000000,4000000,,,2000000,1000000,2000000,11000000,8000000,10000000,,,,,,,,,,,
Iceland,ISL,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123000000,136000000,141000000,165000000,158000000,159000000,151000000,159000000,167000000,188000000,222000000,224000000,247000000,257000000,,,,,,,,,,
Iceland,ISL,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38687588,11.73657207,11.6793879,12.94100111,13.04187481,13.3158352,12.61369904,12.50965754,13.04445396,12.4459081,12.43682767,13.2647983,11.89649534,11.86946644,8.604787756,7.874548053,9.043424993,10.67243632,12.54901362,15.03139906,17.96239837,24.4302424,26.69027406,
