Date,Merchandise trade (% of GDP),"International tourism, number of arrivals","Population, total","Air transport, passengers carried","Exports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)",Transport services (% of commercial service exports),Food exports (% of merchandise exports),Commercial service imports (current US$),GINI index (World Bank estimate),CO2 emissions (kt),Electric power consumption (kWh per capita),"Labor force, total",Employment in services (% of total employment) (modeled ILO estimate),New businesses registered (number),Tax revenue (current LCU),"Services, value added (constant LCU)","Inflation, consumer prices (annual %)",Consumer price index (2010 = 100),Broad money growth (annual %),"Total reserves (includes gold, current US$)",Bank liquid reserves to bank assets ratio (%),GNI per capita (current LCU),GDP (constant LCU),GDP deflator (base year varies by country),"Inflation, GDP deflator (annual %)"
1960,68.49043753,,175574,,,,,,,,1213.777,2614.282297,,,,,,1.988400809,0.04161162,,12332400,,509.8940845,2.51E+11,0.035803003,
1961,61.93268351,,179029,,,,,,,,1092.766,2871.043239,,,,,,4.711608746,0.043572196,26.02490131,23919350,,566.5442805,2.51E+11,0.040558617,13.28272544
1962,60.97256219,,182378,,,,,93.8749004,,,1199.109,2895.08603,,,,,,11.01630006,0.04837224,25.06024096,31917030,,670.3624341,2.72E+11,0.045080024,11.14783286
1963,59.90693156,,185653,,,,,93.99068207,,,1305.452,2978.675271,,,,,,12.92801598,0.054625811,14.31599229,34507320,,786.7731736,3.00E+11,0.048788121,8.225587784
1964,55.8010342,,188983,,,,,93.79070302,,,1309.119,3074.350603,,,,,,19.24505104,0.065138576,3.874936794,43818480,,988.119778,3.29E+11,0.056682779,16.18151698
1965,50.89050416,,192286,,,,,95.25031785,,,1397.127,2974.73555,,,,,,7.317072443,0.069904813,25.21864707,53918480,,1168.947172,3.54E+11,0.063662224,12.31316663
1966,47.66579562,,195570,,,,,93.59310498,,,1496.136,2914.557447,,,,,,10.68664742,0.077375294,11.88788535,58050510,,1381.109332,3.85E+11,0.070308415,10.43977228
1967,41.7493337,,198751,,,,,92.48739474,,,1444.798,2918.224311,,,,,,3.320220946,0.079944325,20.49336962,35260800,,1376.971829,3.80E+11,0.072251178,2.76320176
1968,45.08911008,,201488,,,,,91.14879185,,,1595.145,2992.734059,,,,,,,,8.667820069,27955100,,1454.758675,3.59E+11,0.082159047,13.71308954
1969,55.70721314,,203369,,,,,85.2388694,,,1265.115,3796.055446,,,,,,,,23.34553946,38520800,,1779.802271,3.67E+11,0.099308829,20.87388119
1970,58.55902914,,204438,457900,,,,79.96373058,,,1389.793,6471.399642,,,,,,,,23.85623727,53803730,,2286.312721,,,
1971,54.4328523,,206098,494100,,,,86.14778873,,,1474.134,7001.523547,,,,,,,,20.78740157,70111011.28,,2891.256101,,,
1972,50.80914847,,209137,545800,,,,75.75688479,,,1485.135,7650.487479,,,,169100000,,,,18.27785873,84930137.58,,3567.287472,,,
1973,57.09095727,,212317,592800,,,,75.88944989,,,1752.826,9895.580665,,,,238000000,,,,32.44257485,101652029.1,,4937.128445,,,
1974,56.87380806,,215209,611200,,,,76.91766984,,,1741.825,9962.408635,,,,360000000,,,,28.62519507,52847186.7,,7079.555688,,,
1975,56.96185046,,217979,590200,,,,80.60113092,,,1617.147,9588.079586,,,,494800000,,,,28.95375393,49803248.17,,9877.061093,,,
1976,52.78710924,,220154,601500,574500000,-4500000,68.95043732,74.68488822,114900000,,1705.155,10002.08945,,,,662100000,,,0.507352971,32.87398306,83422178.41,,13733.32849,,,
1977,51.35837316,,221799,645000,724700000,-4200000,70.34358047,76.7701304,147000000,,1906.84,10631.24721,,,,911300000,,30.31674127,0.661165858,44.05570133,104776332.6,,19765.92636,,,
1978,53.18399837,,223537,688000,902300000,-8100000,72.07949588,79.59779905,188800000,,1925.175,10986.99544,,,,1440200000,,43.74999829,0.95042591,48.42567874,145776004.5,,30294.79907,,,
